Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-12-26,4122.5458984375,4153.051508900216,4096.885475626031,4132.82967041397,1208464
2024-12-27,4118.34326171875,4134.263577490246,4100.9396957106965,4116.5138231945575,858100
2024-12-30,4112.36083984375,4152.408599254037,4066.083622101197,4104.648131162954,1527169
2024-12-31,4049.075439453125,4093.721416555209,3987.026137705559,4088.826497628441,1555429
2025-01-01,4066.528564453125,4087.83773347844,4039.829818248196,4048.6798298866042,763161
2025-01-02,4129.12158203125,4136.29062507016,4051.2016935812703,4073.994113145842,1720835
2025-01-03,4054.118408203125,4133.274820319709,4046.6034183811225,4133.274820319709,1791953
2025-01-06,4049.273193359375,4103.312847713527,4020.99245861776,4059.6559451372195,2085593
2025-01-07,3983.318115234375,4094.116959386962,3966.7551537812965,4069.000684555231,2669054
2025-01-08,4062.523681640625,4079.9272487780195,3972.886016427021,3989.844415333019,2181277
2025-01-09,3993.750244140625,4091.545779894736,3980.351502046472,4055.2061490781975,2392472
2025-01-10,4218.017578125,4249.017605323046,4123.435749173168,4153.100754562903,7894300
2025-01-13,4243.18359375,4274.678037775706,4180.194705698588,4197.598272132331,4003771
2025-01-14,4185.78125,4265.728531143597,4171.937581674834,4253.9615096329735,3441709
2025-01-15,4202.14697265625,4208.920578752618,4160.4677368549255,4170.899737234007,1653474
2025-01-16,4159.330078125,4246.050967542871,4145.041724021425,4212.430629187851,2637705
2025-01-17,4087.964599609375,4123.945085907447,4063.9282428372853,4123.251059336668,1761466
2025-01-20,4041.87451171875,4109.275187749958,4032.260017399004,4109.275187749958,1287799
2025-01-21,4000.294189453125,4074.782019875334,3994.4956312570166,4059.22038554109,1971591
2025-01-22,4119.98046875,4126.472569686494,4008.570567070649,4014.319517493651,2409223
2025-01-23,4108.9287109375,4154.424234386973,4103.575897842693,4131.2798514749675,1822998
2025-01-24,4115.767578125,4141.191502882228,4067.8434484989616,4067.8434484989616,1910099
2025-01-27,4029.335693359375,4119.732409603993,4005.4481609662266,4065.861139494707,1551782
2025-01-28,4004.704833984375,4065.8612059687466,3992.810554493486,4034.9361276903833,2468272
2025-01-29,4063.680419921875,4071.6597895180053,4018.2841131724467,4018.2841131724467,1217089
2025-01-30,4063.92822265625,4093.5153399092133,4022.7444731997584,4063.7796409573857,1531251
2025-01-31,4076.16943359375,4092.0783226009103,4049.258723379119,4073.7906745213095,1492943
2025-02-01,4037.265380859375,4099.462552267958,4020.2665694535635,4076.764398462157,437172
2025-02-03,4032.804931640625,4041.0814645977634,3963.4712423764154,3995.387510672127,1265713
2025-02-04,4070.866455078125,4082.562786773872,4030.2279094720234,4047.7223151411663,2547132
2025-02-05,4055.057373046875,4113.438365339778,4040.090307740948,4113.438365339778,1693912
2025-02-06,4046.78076171875,4103.030791288902,4015.8556837274673,4069.2311172534987,2284536
2025-02-07,3993.900634765625,4053.9668417349,3972.689266912831,4053.9668417349,1548940
2025-02-10,4001.38427734375,4016.3017347020295,3978.9835293479905,4004.4074551323297,1339511
2025-02-11,3928.631103515625,4004.407529279412,3920.156380767345,3982.9977288616255,1810908
